name,city,date,time,rating,Sun,Moon,Ascendant,bio,link Astro-Databank,group
"Pagliuca, Gianluca","Bologna, Italy",1966-12-18,11:15,AA,26°03′ Sagittarius,10°01′ Pisces,26°46′ Aquarius,"Italian soccer/football player, a goalkeeper who has played for Sampdoria (1987–1994), Internazionale (1994–1999), Bologna (1999–2006), and Ascoli (2006–2007). He also played for the Italian national team from 1991 to 1998.","https://www.astro.com/astro-databank/Pagliuca,_Gianluca",goalkeeper
"Abbiati, Christian","Abbiategrasso, Italy",1977-07-08,00:40,AA,15°40′ Cancer,12°50′ Aries,09°04′ Aries,"Italian goalkeeper whose honours include three Serie A titles, one Coppa Italia, two Supercoppa Italiana victories, one UEFA Champions League, and one UEFA Super Cup.","https://www.astro.com/astro-databank/Abbiati,_Christian",goalkeeper
"Toldo, Francesco","Padua, Italy",1971-12-02,20:50,AA,09°59′ Sagittarius,16°48′ Gemini,07°39′ Leo,Italian goalkeeper who is regarded by pundits as one of the greatest goalkeepers of his generation.,"https://www.astro.com/astro-databank/Toldo,_Francesco",goalkeeper
"Frey, Sébastien","Thonon les Bains, France",1980-03-18,21:00,AA,28°23′ Pisces,27°22′ Aries,24°40′ Libra,French footballer who plays as a goalkeeper for Bursaspor in the Turkish Süper Lig.,"https://www.astro.com/astro-databank/Frey,_S%C3%A9bastien",goalkeeper
"Pelizzoli, Ivan","Bergamo, Italy",1980-11-18,16:30,AA,26°28′ Scorpio,05°34′ Aries,22°18′ Taurus,Italian former professional soccer player who was a goalkeeper. He was one of three over-age players representing Italy at the 2004 Summer Olympics and won a bronze medal.,"https://www.astro.com/astro-databank/Pelizzoli,_Ivan",goalkeeper
"Lloris, Hugo","Nice, France",1986-12-26,16:15,AA,04°33′ Capricorn,02°24′ Scorpio,25°37′ Gemini,"French football/soccer player, a goalkeeper for English club Tottenham Hotspur and captain of the France national team.","https://www.astro.com/astro-databank/Lloris,_Hugo",goalkeeper
"Domingo, Marcel","Arles, France",1924-01-15,16:00,AA,24°15′ Capricorn,12°57′ Taurus,19°34′ Cancer,French soccer player.,"https://www.astro.com/astro-databank/Domingo,_Marcel",goalkeeper
"Santiago, Jordan","Calgary, Alberta",1991-04-03,12:32,A,13°32′ Aries,05°49′ Sagittarius,03°53′ Leo,"Spanish-Canadian soccer player and coach who last played for Dutch club SC Veendam, as a goalkeeper. ","https://www.astro.com/astro-databank/Santiago,_Jordan",goalkeeper
"Rost, Frank","Chemnitz, Germany",1973-06-30,15:20,A,08°38′ Cancer,10°14′ Cancer,09°55′ Scorpio,German professional footballer who played as a goalkeeper.,"https://www.astro.com/astro-databank/Rost,_Frank",goalkeeper
"Mayorga, Roger","Managua, Nicaragua",1946-07-10,22:00,AA,18°15′ Cancer,12°37′ Sagittarius,20°30′ Pisces,"Nicaraguan soccer player, regarded as the finest of Nicaraguan goalkeepers alongside Salvador Dubois. ","https://www.astro.com/astro-databank/Mayorga,_Roger",goalkeeper
"Ferretti, Emerson","Porto Alegre, Brazil",1971-09-03,16:25,AA,10°38′ Virgo,21°45′ Aquarius,18°53′ Aquarius,Brazilian soccer goalkeeper who played at senior club level from 1991 to 2007 after competing as a Brazil youth international.,"https://www.astro.com/astro-databank/Ferretti,_Emerson",goalkeeper
"Bernard, Pierre","Boissezon, France",1932-01-27,01:00,AA,05°53′ Aquarius,21°35′ Virgo,10°15′ Scorpio,"French soccer player, a goalkeeper who made 21 appearances for the France national team.","https://www.astro.com/astro-databank/Bernard,_Pierre",goalkeeper
